Player,Wickets,Innings,0s,1s,2s,3s,4s,5s,6s,Conceded,Balls,Ex
Dwayne Bravo,102,125,344,422,130,4,129,1,88,1810,1115,99
Lasith Malinga,90,109,320,392,84,3,81,0,41,1196,917,113
Bhuvneshwar Kumar,85,139,349,477,113,4,159,0,70,1838,1167,113
Jasprit Bumrah,80,120,371,462,112,4,119,0,56,1560,1115,91
Hardik Patel,63,71,205,223,60,1,67,0,62,1046,613,83
Mohit Sharma,61,80,187,274,61,2,84,0,61,1131,666,38
Sunil Narine,60,96,277,295,56,2,56,0,54,985,739,42
Kagiso Rabada,52,65,180,163,39,1,64,0,42,790,486,50
Sandeep Sharma,46,77,138,227,54,1,68,0,51,940,536,29
Umesh Yadav,45,77,178,239,56,3,90,0,60,1123,618,64
Ravichandran Ashwin,18,52,94,154,36,0,20,0,27,484,331,23
Yuzvendra Chahal,31,54,105,144,24,1,26,0,39,549,337,25
Rashid Khan,26,48,125,120,19,0,25,0,23,403,312,12
Trent Boult,43,77,152,210,49,1,93,0,50,1012,555,34
Ravindra Jadeja,24,58,121,136,27,0,28,0,34,516,346,19
Axar Patel,16,32,75,77,15,0,20,0,15,282,202,16
Harbhajan Singh,19,29,60,74,13,0,17,0,13,255,177,12
Piyush Chawla,28,44,84,100,22,0,32,0,26,433,264,13
Amit Mishra,28,46,97,101,35,0,27,0,29,467,287,18