Player,Wickets,Matches,Innings,Overs,Maidens,Runs,Best Bowling In Innings,4-Wkts,5-Wkts
Dwayne Bravo,28,19,19,64.4,0,531,1942-04-01,1,0
Ravichandran Ashwin,21,24,24,84.4,1,635,2016-03-01,0,0
Mohit Sharma,20,10,10,36.0,0,316,2024-10-05,0,1
Ravindra Jadeja,19,23,19,55.1,0,428,1931-03-01,0,0
Harbhajan Singh,17,15,14,54.0,1,393,2023-03-01,0,0
Trent Boult,16,11,11,41.0,2,306,1930-03-01,0,0
Lasith Malinga,14,15,15,57.5,0,433,2023-03-01,0,0
Sunil Narine,12,14,14,56.0,0,406,2021-04-01,1,0
Rashid Khan,12,12,12,45.0,2,275,2019-03-01,0,0
Jasprit Bumrah,11,8,8,30.4,2,193,2014-04-01,1,0
Yuzvendra Chahal,11,11,11,44.0,0,339,2016-02-01,0,0
Deepak Chahar,11,9,9,34.3,1,265,2026-03-01,0,0
Piyush Chawla,11,9,9,31.5,0,270,2024-02-01,0,0
Hashal Patel,6,5,5,18.0,0,114,2015-02-01,0,0
Sandeep Sharma,8,7,7,26.0,0,238,2025-02-01,0,0
Bhuvneshwar Kumar,9,11,11,36.1,1,279,2019-03-01,0,0
Amit Mishra,8,5,5,20.0,1,109,2019-03-01,0,0
Axar Patel,5,10,10,38.0,1,248,2024-11-02,0,0
Kagiso Rabada,7,5,5,18.0,0,149,2029-04-01,1,0