Bowler,Team,Runs,Inns,0s,1s,2s,3s,4s,5s,6s,Balls,Wkt,Ex
B Kumar,SRH,1974,143,968,420,74,10,247,2,42,1800,62,126
DL Chahar,CSK,1622,76,583,333,53,4,206,2,46,1239,59,61
Mohammed Siraj,RCB,1228,77,435,199,35,3,141,0,48,882,34,98
SL Malinga,MI,1205,117,582,290,43,3,147,1,20,1110,40,107
JJ Bumrah,MI,1161,127,538,269,43,6,136,0,27,1032,35,82
JA Morkel,CSK,1093,62,340,199,36,7,145,0,26,774,30,65
SP Narine,KKR,1047,130,435,290,36,1,109,0,33,912,28,48
Sandeep Sharma,Kings XI,986,61,455,201,34,3,125,0,26,858,40,52
Arshdeep Singh,Punjab Kings,934,62,254,175,35,3,123,0,19,624,29,74
UT Yadav,KKR,926,60,338,175,30,5,112,0,26,708,27,68
MJ McClenaghan,MI,867,55,306,183,22,3,100,0,30,654,32,51
TA Boult,RR,757,41,341,135,31,3,106,0,15,642,33,37
SR Watson,RR,729,61,331,139,23,3,104,0,10,630,29,59
P Kumar,Kings XI,728,44,369,167,25,7,91,1,10,690,19,61
Z Khan,RCB,711,43,297,141,25,1,94,1,13,588,26,58