Team,Wickets,Players,Mat,Inns,Overs,Maidens,Runs,Best Innings,4W,5W
Mumbai Indians,1455,149,261,1566,5040.3,44,40436,2024-12-06,22,7
Royal Challengers Bangalore,1361,165,256,1503,4828.1,40,39966,2024-05-05,21,4
Chennai Super Kings,1360,103,239,1401,4587.5,41,36528,2016-05-01,23,2
Delhi Capitals,1344,159,252,1457,4807.5,39,39341,2017-05-01,21,1
Kolkata Knight Riders,1330,139,252,1505,4776.2,25,38298,2015-05-01,23,3
Punjab Kings,1295,156,246,1434,4683.2,39,39207,2014-05-01,24,3
Rajasthan Royals,1153,153,222,1311,4225.5,37,34421,2014-06-01,15,5
Sunrisers Hyderabad,984,103,182,1072,3501.5,31,28618,2019-05-01,12,3
Gujarat Titans,275,32,45,260,856.3,2,7374,2024-10-05,9,1
Lucknow Super Giants,248,36,44,268,834.3,7,7292,2014-05-01,4,2